feature_profile,max_iter,learning_rate,max_leaf_nodes,l2_regularization,class_weight,draw_probability_multiplier,calibration_temperature,validation_accuracy,pooled_validation_accuracy,validation_log_loss,selected
baseline_no_market,80,0.04,7,1.0,none,1.1,1.0,0.5779967510259918,0.6172914147521161,0.9211524723368909,False
baseline_no_market,80,0.04,7,1.0,none,1.1,1.15,0.5779967510259918,0.6172914147521161,0.9252262829560276,False
baseline_no_market,80,0.04,7,1.0,none,1.1,1.3,0.5779967510259918,0.6172914147521161,0.9315477815500712,False
baseline_no_market,80,0.04,7,1.0,none,1.1,1.5,0.5779967510259918,0.6172914147521161,0.9411740676404123,False
baseline_no_market,80,0.04,7,1.0,none,1.15,0.85,0.573235507865937,0.6136638452237001,0.9234974177897242,False
baseline_no_market,80,0.04,7,1.0,none,1.15,1.0,0.573235507865937,0.6136638452237001,0.9228063251603109,False
baseline_no_market,80,0.04,7,1.0,none,1.15,1.15,0.573235507865937,0.6136638452237001,0.927038734767106,False
baseline_no_market,80,0.04,7,1.0,none,1.15,1.3,0.573235507865937,0.6136638452237001,0.9334136856329115,False
baseline_no_market,80,0.04,7,1.0,none,1.15,1.5,0.573235507865937,0.6136638452237001,0.9430282813452089,False
baseline_no_market,80,0.04,7,1.0,none,1.2,0.85,0.5608327633378933,0.6094316807738815,0.9251925999285138,False
baseline_no_market,80,0.04,7,1.0,none,1.2,1.0,0.5608327633378933,0.6094316807738815,0.9247335266550836,False
baseline_no_market,80,0.04,7,1.0,none,1.2,1.15,0.5608327633378933,0.6094316807738815,0.9290420206507385,False
baseline_no_market,80,0.04,7,1.0,none,1.2,1.3,0.5608327633378933,0.6094316807738815,0.9354147514927017,False
baseline_no_market,80,0.04,7,1.0,none,1.2,1.5,0.5608327633378933,0.6094316807738815,0.9449684552949495,False
baseline_no_market,120,0.03,7,1.0,none,0.85,0.85,0.5897155010259918,0.619105199516324,0.9225371462549761,False
baseline_no_market,120,0.03,7,1.0,none,0.85,1.0,0.5897155010259918,0.619105199516324,0.9167678789721947,False
baseline_no_market,120,0.03,7,1.0,none,0.85,1.15,0.5897155010259918,0.619105199516324,0.9181288581753497,False
baseline_no_market,120,0.03,7,1.0,none,0.85,1.3,0.5897155010259918,0.619105199516324,0.9228864435508883,False
baseline_no_market,120,0.03,7,1.0,none,0.85,1.5,0.5897155010259918,0.619105199516324,0.9314461033659123,False
baseline_no_market,120,0.03,7,1.0,none,0.95,0.85,0.5859802496580028,0.619105199516324,0.9199476779534663,False
baseline_no_market,120,0.03,7,1.0,none,0.95,1.0,0.5859802496580028,0.619105199516324,0.9164571817474716,True
baseline_no_market,120,0.03,7,1.0,none,0.95,1.15,0.5859802496580028,0.619105199516324,0.9191618115208212,False
baseline_no_market,120,0.03,7,1.0,none,0.95,1.3,0.5859802496580028,0.619105199516324,0.9247306428320209,False
baseline_no_market,120,0.03,7,1.0,none,0.95,1.5,0.5859802496580028,0.619105199516324,0.9338999156110181,False
baseline_no_market,120,0.03,7,1.0,none,1.0,0.85,0.5893735037619698,0.6178960096735188,0.9196644003616058,False
baseline_no_market,120,0.03,7,1.0,none,1.0,1.0,0.5893735037619698,0.6178960096735188,0.9170145230175266,False
baseline_no_market,120,0.03,7,1.0,none,1.0,1.15,0.5893735037619698,0.6178960096735188,0.9201926142761454,False
baseline_no_market,120,0.03,7,1.0,none,1.0,1.3,0.5893735037619698,0.6178960096735188,0.9260301219971252,False
baseline_no_market,120,0.03,7,1.0,none,1.0,1.5,0.5893735037619698,0.6178960096735188,0.9353804495563094,False
baseline_no_market,120,0.03,7,1.0,none,1.05,0.85,0.5820739996580028,0.6185006045949214,0.919951256408633,False
baseline_no_market,120,0.03,7,1.0,none,1.05,1.0,0.5820739996580028,0.6185006045949214,0.9179693432199385,False
baseline_no_market,120,0.03,7,1.0,none,1.05,1.15,0.5820739996580028,0.6185006045949214,0.9215073887783486,False
baseline_no_market,120,0.03,7,1.0,none,1.05,1.3,0.5820739996580028,0.6185006045949214,0.9275358140502122,False
baseline_no_market,120,0.03,7,1.0,none,1.05,1.5,0.5820739996580028,0.6185006045949214,0.9369974399742755,False
baseline_no_market,120,0.03,7,1.0,none,1.1,0.85,0.5740905010259918,0.6166868198307134,0.9207439874823908,False
baseline_no_market,120,0.03,7,1.0,none,1.1,1.0,0.5740905010259918,0.6166868198307134,0.9192741738266261,False
baseline_no_market,120,0.03,7,1.0,none,1.1,1.15,0.5740905010259918,0.6166868198307134,0.9230703822831974,False
